node	source	licence	licence_receipt	texts
abbasid-arabic	ar.wikisource.org: مجموعة الرسائل والمسائل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: محلى ابن حزم - المجلد الأول	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: محلى ابن حزم - المجلد الثالث	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: محلى ابن حزم - المجلد الثاني	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: محلى ابن حزم - المجلد الخامس	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: محلى ابن حزم - المجلد الرابع	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: محلى ابن حزم - المجلد السادس	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: مختار الصحاح	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مختصر صحيح مسلم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: مراتب الإجماع	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مسند أحمد بن حنبل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مصنف الصنعاني	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: معالم السنن	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مفاتيح العلوم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مفتاح الحساب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: مقامات الحريري	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: مقامات بديع الزمان الهمذاني	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مقدمة ابن الصلاح	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مقدمة ابن خلدون	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: مقدمة فتح الباري	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
